year,state,county_name,county_fips,party,candidatevotes
2020,CALIFORNIA,LOS ANGELES,6037.0,DEMOCRAT,3028885
2016,CALIFORNIA,LOS ANGELES,6037.0,DEMOCRAT,2464364
2020,ILLINOIS,COOK,17031.0,DEMOCRAT,1725973
2016,ILLINOIS,COOK,17031.0,DEMOCRAT,1611946
2020,ARIZONA,MARICOPA,4013.0,DEMOCRAT,1040774
2020,CALIFORNIA,SAN DIEGO,6073.0,DEMOCRAT,964650
2020,TEXAS,HARRIS,48201.0,DEMOCRAT,918193
2020,WASHINGTON,KING,53033.0,DEMOCRAT,907310
2020,CALIFORNIA,ORANGE,6059.0,DEMOCRAT,814009
2016,ARIZONA,MARICOPA,4013.0,REPUBLICAN,747361
2016,CALIFORNIA,SAN DIEGO,6073.0,DEMOCRAT,735476
2016,WASHINGTON,KING,53033.0,DEMOCRAT,718322
2016,TEXAS,HARRIS,48201.0,DEMOCRAT,707914
2020,NEW YORK,KINGS,36047.0,DEMOCRAT,703310
2016,NEW YORK,KINGS,36047.0,DEMOCRAT,640553
2016,FLORIDA,MIAMI-DADE,12086.0,DEMOCRAT,624146
2020,FLORIDA,BROWARD,12011.0,DEMOCRAT,618752
2020,CALIFORNIA,SANTA CLARA,6085.0,DEMOCRAT,617967
2020,FLORIDA,MIAMI-DADE,12086.0,DEMOCRAT,617864
2020,CALIFORNIA,ALAMEDA,6001.0,DEMOCRAT,617659
2020,MASSACHUSETTS,MIDDLESEX,25017.0,DEMOCRAT,617196
2016,CALIFORNIA,ORANGE,6059.0,DEMOCRAT,609961
2020,PENNSYLVANIA,PHILADELPHIA,42101.0,DEMOCRAT,603790
2020,NEW YORK,NEW YORK,36061.0,DEMOCRAT,603040
2020,TEXAS,DALLAS,48113.0,DEMOCRAT,598576
2020,MICHIGAN,WAYNE,26163.0,DEMOCRAT,597170
2016,PENNSYLVANIA,PHILADELPHIA,42101.0,DEMOCRAT,584025
2016,NEW YORK,NEW YORK,36061.0,DEMOCRAT,579013
2020,NEW YORK,QUEENS,36081.0,DEMOCRAT,569038
2016,FLORIDA,BROWARD,12011.0,DEMOCRAT,553320
2020,MINNESOTA,HENNEPIN,27053.0,DEMOCRAT,532623
